BLOCK_NUMBER,BLOCK_TIMESTAMP,TIMESTAMP_SECONDS,TX_HASH,EOA,TOKEN_ADDRESS,TOKEN_SYMBOL,RAW_AMOUNT,DESTINATIONCHAIN
16706610,55:11.0,1677344111,0x3a2a1155e4c98dbb7d9cdac244e99cd769e9d1e9420514bb17ef14a9515e9ed1,0x7bc277050216d582e3cc95375041a06fc5755181,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,159295259,Moonbeam
16545970,48:23.0,1675399703,0x4464e82f71a3f37f73e294e46d0d64bcc0bc798eedd0bf925e6c1afe47b86933,0xd200f6f1f7fcad02c9a10009496bde81085c221f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,220426741,Moonbeam
16706639,00:59.0,1677344459,0xffc6e53f71c5f755cdbea919b73e16777f252deb392e91981a49fce0601d1ffa,0xdd3b3624a6d08d61c562f2fa577aad51dcdcf48b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,191159107,Fantom
16217500,18:59.0,1671437939,0xe129d0ceceb96cb5b4719012f7f06d8703557dfd7c83e4c4c6e71a18da62c9d0,0xb13cd07b22bc5a69f8500a1cb3a1b65618d50b22,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5889699,Polygon
16656899,07:47.0,1676740067,0xbd53bc031a78d816dc8c45ad5e4d236a5edee013983254215ed36e64a4955edb,0x3ba005cd1b720fe3ff421b25d1419b8510da9221,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,150000000,Polygon
16457430,00:47.0,1674331247,0xaaee459591e0e4a42f918167ec9a46354311d6575e7c022565d8a5fa00431167,0x3e897ff1aec9a7b13538f628495fbd90fb0669ff,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1659734,Avalanche
16657038,36:11.0,1676741771,0xcb6d16d596c44865a1fe6ea13eda53699275e480dce83acd11e3cca024ae1ad6,0x36e1089f400c61379484e0b376e407ef0eb17df7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,208038324,Fantom
16719426,07:59.0,1677499679,0xdef7086f1cac31c69cb0489ba8a1906c0481dc794805a543bd90c229fa82b82f,0x79ebbd5deb486f8b1e969d000fadef972e141b90,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,105699867,kujira
16586656,15:35.0,1675890935,0x892beab8dcd890203f2ccf28874bdf1e3840a02098942ef03b675b3cfd072e0d,0x650dfad81e90c94116d297376be6f8e10f3f49a7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,2200129665,Moonbeam
16083681,25:47.0,1669821947,0xf8d24bb7c96dd5f93e333e78e459090f45317d0b6ee5b19c9ae1af5f2bab22a3,0xb9f3b3809b730d436896e76aeb9c363c9de7954d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,60000000,Avalanche
16605696,04:23.0,1676120663,0x3be9178628ef84fe64b5c09317f586b52b6d218cbe4b4a908f8f6f26ebe9c165,0x47515585ef943f8e56c17ba0f50fb7e28ce1c4dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,15153999,Moonbeam
16555815,48:35.0,1675518515,0xbfe5f7a6ff25d37e7f6b15a261a72ced574fbcbd6a14dcdfa65be622ff09ddfa,0x697e3ea936170aafe34a4ddc33400350386c3f72,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,504294797,Avalanche
16083505,49:59.0,1669819799,0x24f7e2b5302071885fb95e52e885c28545c72be9ae8f7e768e5b9f9848405b7b,0xb9f3b3809b730d436896e76aeb9c363c9de7954d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,100000000,Avalanche
16559185,05:47.0,1675559147,0x973803a6e4a925cb11aa03233df24f8f6ba23bba01f967cc489b3fe1e3cbe58c,0xbfdaa6370506992bccef0cb2148e530c5dbb41b9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,99993303,Avalanche
16541903,06:59.0,1675350419,0x38f7afd40d8d5e2712e49b49931fb6fe7b020c5483d72a554d20c4da54644ab6,0x34d7bceaa2b3cfb1de368baa703683edc666d3f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,4350943,celo
16702307,22:23.0,1677291743,0xa3b51312c9bdda17d3b375489762a96c6d59fbdf98ead8a25213315dd86b56da,0x2ef6b949765ea4c8aedd35c0702aa73abb1a2126,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,16012953,Moonbeam
16644225,18:11.0,1676585891,0x72bbcb34c8abb53d3ac9ec95fa10815e740a734dd21bf75e377460a48579e190,0x9b6af078f0ee5dcf827d1f2bb5fef8fdad90c5af,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5624635825,Avalanche
16598611,18:59.0,1676035139,0x63754bc8a53c80ce90ed2494c6e784ca73db39ad3448d22c3e0e32f347544d41,0xb15835f5f7cdce7b04ed44f8e6cf86bf07fb6615,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,153584177,Fantom
16601320,24:11.0,1676067851,0xabd8620b6f6fb6ee7936152a1f2998f25b034a35b6d8b28f67ef6f1a5399cb38,0x95814e50d465e7fea5f6c68696d5a55ae8b451fc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,302535678,Fantom
16559224,13:35.0,1675559615,0x266b3d0836094444216ac75183a26953c8b8e76d14c0dd2535f2dd72c7c56724,0xbfdaa6370506992bccef0cb2148e530c5dbb41b9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,98689063,Avalanche
16558970,22:47.0,1675556567,0x40d3480163224fc64ed0228ab96e12ab10fb1d70dd120f47876910f438d484f9,0xa6c70679050189f65d86c6ee8ec5a90a61fbc09e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,232750719,Fantom
16542514,09:47.0,1675357787,0xdc309b8dfe6f527d4a4925b53eadf3f2714c2973de1c88b2d5a86346aa5a72ed,0x1bfbc0c91287de1a13f164bbbde61d1c959b9a59,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,16708045,Moonbeam
16156731,35:47.0,1670704547,0x04441fc7d26dcc5871c77673160fcbd77fa639672816ea601e81be5dabd0d6b0,0xb9f3b3809b730d436896e76aeb9c363c9de7954d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000,Avalanche
16156736,36:47.0,1670704607,0x6fc11bb579d8db719bfe37f9a382ea515e7162bdf85fc5a3c9d339cdb70cd402,0xb9f3b3809b730d436896e76aeb9c363c9de7954d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000,Moonbeam
16649558,18:11.0,1676650691,0x5e0c6938933006054374677183b107a4ee9e27cb9f8ab060b4b12dab2c3cfe58,0x2bc1ef8e62bb770113a880ce77f4747cd2ebad4c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000000,Fantom
16485456,54:23.0,1674669263,0xefec342ea87d187c7ece0d2acab1f30ffc2339237c30bbe0f9eabe40e54b7f1b,0xacd50ada79a711b7f16a9ea2d8b611bb4722f052,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1546335029,Arbitrum
16156770,43:47.0,1670705027,0x485fe58feb7ab31f4c046beb8e1bdde1c3f6b6a7b273e2a8919af670786db4c8,0xb9f3b3809b730d436896e76aeb9c363c9de7954d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,126730,Polygon
16722991,05:47.0,1677542747,0x4598e00ade4b21aa1847129ee6adf30aa7d81856d58dc7dd3148fc1007f3e628,0x00d3133dcacaf0480fcebcc8c50ebb66923d2b18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5000000,Arbitrum
16522537,10:35.0,1675116635,0x5717b669da816ebd053367110aa8b0f9165ffe70265cb800f6873f21414d92ba,0x6c189a9d09653cc3446c7bb3e0361487b0bdcb76,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,15000000,binance
16559700,49:11.0,1675565351,0xd863db2020c8940b82c5343f2c34964f81cdbde1c22155a5cc40a9bfce3b0e1b,0x994cf01f34c51426bcb12bd30ff7079e280e1140,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,7672007,Polygon
16494107,54:23.0,1674773663,0x1ebd2523548244a4266a515f08b675254401d5f347e0d7aee798caa04889cf90,0xa2b4d3f03b12cbe405827d171f5efe73fdfbfe83,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,80101315,Polygon
16519081,35:59.0,1675074959,0x159c1d6ea750e46171cec115438db7112142db1e2876fae34a5020f74e2cf82c,0x5b1d81715a847cfd33b618983266f07e087356bf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,79341479,Polygon
16589965,19:59.0,1675930799,0xcda59e4d27a7a9b59dc18e8d1b5002c18ea4813e43f01d9da19de01b73db7332,0x27ed896fa1b8d8f6152f593ae7fcfa61d5c73f1c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,81393861,celo
16547902,17:59.0,1675423079,0x816b6644f6fa652233779ae3fc18d08ba190594990b82e1b4fad60cbce70ad0b,0xa75e1c4a0e2d13182d80f50be8402c576a3f8796,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,131117651,Fantom
15986989,14:59.0,1668654899,0x45124e48f8fcfb1ac36800613b2e00fac6c69b482a554a1623d623f5847c0957,0x661f947aad0916cf177e764c6fda2d4902f993f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,12055092,Avalanche
16547748,46:47.0,1675421207,0x11f39e2e049133b96107e2bd7c7ea8a1071dc13ac260f159379663cf99b82224,0x0cee8edcc728db54794ddfc2a421f6cdeff8fc17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,49070877,Moonbeam
16700465,08:35.0,1677269315,0x618a1079233f3f73c76fbaa78ebecaca225a7c72f82d709ec8c95458cc9810d1,0x76b957e552d6dabd05ea6c4a1caa090f1dab97aa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,32258031,Moonbeam
16626166,42:47.0,1676367767,0x1101c0ae93f564bb341fe3cc2eb38c1ca75749a1bec4cf272e7f4b75340f3bb3,0x2cbb730748c6484c4262fd4258ae6760df92591a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,119920830,Fantom
16616793,16:47.0,1676254607,0x89c673107f9060369f569488845fdd77dbd8e3e869437b91017fd97660fe798a,0x2790e0bb3e1b104aeecedd13b2fedf3216931743,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,500000000,Moonbeam
16528322,32:35.0,1675186355,0x473583a9031d277893c36a29ceb96c2784bd2936d9ac939e79267cf61179ad60,0x6c189a9d09653cc3446c7bb3e0361487b0bdcb76,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,10000000,Avalanche
16711583,41:23.0,1677404483,0x8db1e0470d066fef00820c59e958452bbe9ecf1af22014cf0f014347c77876c0,0xe27c58e4d8fd2888d8cf463905245eff818eaefe,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,878287038,Moonbeam
16711404,05:11.0,1677402311,0x4d44ea3eaf57e9cc2030614367575c1af9e37740f45ab9ba19baf565cea33c83,0x0d024bb4d2c30e9d8a172069eae31195a75d1fba,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,15965226,Avalanche
16579738,59:59.0,1675807199,0x194de9a6d1fd03917594d5c8c2dfad3e522262a10212c23acb8a92a295eff352,0xa2b4d3f03b12cbe405827d171f5efe73fdfbfe83,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,58275372,Polygon
16597190,33:47.0,1676018027,0x470661f23c5f9b451e209d8be0a0e561679b989ee717cdb816c92c5355490310,0xe30d57efd79be4923874b57173960e8804c62f77,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,46395639,Moonbeam
